iter	Passed	Remaining
471	733	820
472	734	818
473	736	816
474	737	815
475	739	813
476	740	812
477	742	810
478	744	809
479	745	807
480	747	806
481	748	804
482	750	803
483	751	801
484	753	799
485	754	798
486	756	796
487	757	795
488	759	793
489	760	791
490	762	790
491	763	788
492	765	787
493	766	785
494	768	783
495	769	782
496	771	781
497	773	779
498	774	777
499	776	776
500	777	774
501	779	773
502	780	771
503	782	769
504	783	768
505	785	766
506	787	765
507	788	763
508	789	762
509	791	760
510	792	758
511	794	757
512	795	755
513	797	754
514	799	752
515	801	751
516	802	749
517	804	748
518	805	746
519	807	745
520	808	743
521	810	742
522	811	740
523	813	738
524	814	737
525	816	735
526	817	734
527	819	732
528	820	730
529	822	729
530	823	727
531	825	726
532	826	724
533	828	722
534	829	721
535	831	719
536	832	718
537	834	716
538	835	714
539	837	713
540	839	711
541	840	710
542	842	708
543	844	707
544	845	705
545	847	704
546	848	703
547	850	701
548	852	699
549	853	698
550	855	696
551	856	695
552	858	693
553	859	691
554	861	690
555	862	688
556	864	687
557	865	685
558	867	684
559	868	682
560	870	681
561	872	679
562	873	678
563	875	676
564	876	674
565	877	673
566	879	671
567	880	669
568	882	668
569	884	667
570	885	665
571	887	663
572	888	662
573	890	661
574	892	659
575	894	658
576	895	656
577	897	655
578	898	653
579	900	651
580	901	650
581	903	648
582	904	647
583	906	645
584	907	643
585	909	642
586	910	640
587	912	639
588	913	637
589	915	636
590	916	634
591	918	632
592	919	631
593	921	629
594	923	628
595	924	626
596	926	625
597	927	623
598	929	622
599	930	620
600	932	619
601	934	617
602	935	616
603	937	614
604	939	613
605	940	611
606	942	609
607	943	608
608	944	606
609	946	605
610	948	603
611	949	602
612	951	600
613	952	598
614	954	597
615	955	595
616	957	594
617	958	592
618	960	591
619	961	589
620	963	587
621	965	586
622	966	585
623	968	583
624	970	582
625	971	580
626	973	579
627	975	577
628	976	576
629	978	574
630	979	572
631	981	571
632	982	569
633	984	568
634	986	566
635	987	565
636	989	563
637	990	562
638	992	560
639	993	559
640	995	557
641	997	555
642	998	554
643	1000	552
644	1001	551
645	1003	549
646	1005	548
647	1006	546
648	1008	545
649	1009	543
650	1011	542
651	1012	540
652	1014	538
653	1015	537
654	1017	535
655	1018	534
656	1020	532
657	1021	531
658	1023	529
659	1025	528
660	1027	526
661	1028	525
662	1030	523
663	1031	522
664	1033	520
665	1035	519
666	1036	517
667	1038	516
668	1039	514
669	1041	512
670	1043	511
671	1044	509
672	1046	508
673	1047	506
674	1048	505
675	1050	503
676	1051	501
677	1053	500
678	1054	498
679	1056	497
680	1058	495
681	1059	494
682	1061	492
683	1062	491
684	1064	489
685	1066	487
686	1068	486
687	1069	485
688	1071	483
689	1072	481
690	1074	480
691	1076	478
692	1077	477
693	1079	475
694	1080	474
695	1082	472
696	1084	471
697	1085	469
698	1087	468
699	1088	466
700	1089	464
701	1091	463
702	1093	461
703	1094	460
704	1096	458
705	1097	457
706	1099	455
707	1100	453
708	1102	452
709	1104	450
710	1105	449
711	1107	447
712	1108	446
713	1110	444
714	1111	443
715	1113	441
716	1114	440
717	1116	438
718	1117	436
719	1119	435
720	1121	433
721	1122	432
722	1124	430
723	1125	429
724	1127	427
725	1128	426
726	1130	424
727	1132	422
728	1133	421
729	1135	419
730	1136	418
731	1138	416
732	1140	415
733	1141	413
734	1143	412
735	1144	410
736	1146	409
737	1147	407
738	1149	405
739	1151	404
740	1152	402
741	1154	401
742	1155	399
743	1157	398
744	1159	396
745	1160	395
746	1162	393
747	1163	392
748	1165	390
749	1167	389
750	1168	387
751	1170	385
752	1171	384
753	1173	382
754	1174	381
755	1176	379
756	1178	378
757	1179	376
758	1181	375
759	1183	373
760	1184	372
761	1186	370
762	1187	368
763	1189	367
764	1191	365
765	1192	364
766	1194	362
767	1195	361
768	1198	359
769	1199	358
770	1201	356
771	1202	355
772	1204	353
773	1206	352
774	1207	350
775	1209	348
776	1210	347
777	1211	345
778	1213	344
779	1215	342
780	1216	341
781	1218	339
782	1219	338
783	1221	336
784	1222	334
785	1224	333
786	1226	331
787	1227	330
788	1228	328
789	1230	327
790	1231	325
791	1233	323
792	1234	322
793	1236	320
794	1237	319
795	1239	317
796	1240	316
797	1242	314
798	1244	312
799	1245	311
800	1247	309
801	1248	308
802	1250	306
803	1251	305
804	1253	303
805	1255	302
806	1256	300
807	1258	298
808	1259	297
809	1261	295
810	1262	294
811	1264	292
812	1265	291
813	1267	289
814	1269	288
815	1270	286
816	1272	285
817	1273	283
818	1275	281
819	1277	280
820	1278	278
821	1280	277
822	1281	275
823	1283	274
824	1285	272
825	1286	271
826	1288	269
827	1290	268
828	1291	266
829	1293	264
830	1294	263
831	1296	261
832	1298	260
833	1299	258
834	1301	257
835	1302	255
836	1304	254
837	1305	252
838	1307	250
839	1308	249
840	1310	247
841	1312	246
842	1313	244
843	1315	243
844	1316	241
845	1318	239
846	1319	238
847	1321	236
848	1322	235
849	1324	233
850	1325	232
851	1327	230
852	1329	229
853	1330	227
854	1332	225
855	1333	224
856	1335	222
857	1337	221
858	1338	219
859	1340	218
860	1342	216
861	1343	215
862	1345	213
863	1346	211
864	1348	210
865	1349	208
866	1351	207
867	1352	205
868	1354	204
869	1356	202
870	1357	201
871	1359	199
872	1360	197
873	1362	196
874	1363	194
875	1365	193
876	1367	191
877	1368	190
878	1370	188
879	1371	187
880	1373	185
881	1374	183
882	1376	182
883	1377	180
884	1379	179
885	1381	177
886	1383	176
887	1384	174
888	1386	173
889	1387	171
890	1388	169
891	1390	168
892	1392	166
893	1393	165
894	1395	163
895	1397	162
896	1399	160
897	1400	159
898	1401	157
899	1403	155
900	1404	154
901	1406	152
902	1408	151
903	1409	149
904	1410	148
905	1412	146
906	1414	145
907	1416	143
908	1417	141
909	1419	140
910	1421	138
911	1423	137
912	1425	135
913	1427	134
914	1429	132
915	1430	131
916	1432	129
917	1434	128
918	1436	126
919	1438	125
920	1440	123
921	1441	121
922	1443	120
923	1445	118
924	1447	117
925	1449	115
926	1451	114
927	1452	112
928	1454	111
929	1455	109
930	1457	108
931	1458	106
932	1460	104
933	1462	103
934	1463	101
935	1465	100
936	1466	98
937	1468	97
938	1469	95
939	1471	93
940	1472	92
941	1474	90
942	1476	89
943	1477	87
944	1479	86
945	1481	84
946	1483	83
947	1484	81
948	1486	79
949	1488	78
950	1489	76
951	1491	75
952	1492	73
953	1494	72
954	1495	70
955	1497	68
956	1498	67
957	1500	65
958	1501	64
959	1503	62
960	1505	61
961	1506	59
962	1507	57
963	1509	56
964	1510	54
965	1512	53
966	1513	51
967	1515	50
968	1516	48
969	1518	46
970	1520	45
971	1521	43
972	1523	42
973	1524	40
974	1526	39
975	1527	37
976	1529	36
977	1530	34
978	1532	32
979	1533	31
980	1535	29
981	1536	28
982	1538	26
983	1539	25
984	1541	23
985	1542	21
986	1544	20
987	1546	18
988	1547	17
989	1549	15
990	1550	14
991	1552	12
992	1554	10
993	1555	9
994	1557	7
995	1558	6
996	1560	4
997	1561	3
998	1563	1
999	1564	0
